id,name,office_code,district,district_office,road_addr,founding,is_branch,lat,lng,level,is_active,source
B000003661,세류초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 권선구 세류로 78,공립,false,37.26636058,127.010354,elem,true,data.go.kr
B000026019,세마초등학교,7530000,오산시,경기도화성오산교육지원청,경기도 오산시 세마문학로 45,공립,false,37.1696802,127.0275815,elem,true,data.go.kr
B000024758,세미초등학교,7530000,오산시,경기도화성오산교육지원청,경기도 오산시 내삼미로 127,공립,false,37.17448251,127.0643873,elem,true,data.go.kr
B000024063,세아초등학교,7530000,평택시,경기도평택교육지원청,경기도 평택시 세교4로 50,공립,false,37.00836879,127.0883054,elem,true,data.go.kr
B000004472,세월초등학교,7530000,양평군,경기도양평교육지원청,경기도 양평군 강상면 세월길147번길 2,공립,false,37.43605381,127.4951126,elem,true,data.go.kr
B000024707,세정초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄순환대로12길 74,공립,false,37.16678823,127.1260411,elem,true,data.go.kr
B000004426,세종초등학교,7530000,여주시,경기도여주교육지원청,경기도 여주시 세종로 204-19,공립,false,37.2797981,127.6338262,elem,true,data.go.kr
B000004097,소래초등학교,7530000,시흥시,경기도시흥교육지원청,경기도 시흥시 호현로27번길 1,공립,false,37.44261531,126.7846566,elem,true,data.go.kr
B000004554,소만초등학교,7530000,고양시,경기도고양교육지원청,경기도 고양시 덕양구 화신로 48,공립,false,37.61754278,126.8395857,elem,true,data.go.kr
B000004114,소사벌초등학교,7530000,평택시,경기도평택교육지원청,경기도 평택시 동부공원로 59,공립,false,36.99531759,127.116892,elem,true,data.go.kr
B000003826,소사초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 소사구 은성로 58,공립,false,37.47361187,126.7973298,elem,true,data.go.kr
B000003824,소안초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 소사구 소사동로72번길 29,공립,false,37.47237615,126.804222,elem,true,data.go.kr
B000004726,소요초등학교,7530000,동두천시,경기도동두천양주교육지원청,경기도 동두천시 봉동로 64,공립,false,37.94849078,127.0540277,elem,true,data.go.kr
B000003833,소일초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 소사구 소사로102번길 78,공립,false,37.46920358,126.8025378,elem,true,data.go.kr
B000004261,소하초등학교,7530000,광명시,경기도광명교육지원청,경기도 광명시 소하일로 45,공립,false,37.44927566,126.8873732,elem,true,data.go.kr
B000003946,소현초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 수지구 만현로133번길 78,공립,false,37.30192517,127.0924337,elem,true,data.go.kr
B000003705,소화초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 영통구 광교중앙로 30,사립,false,37.27820749,127.0528005,elem,true,data.go.kr
B000003994,손곡초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 수지구 손곡로 68,공립,false,37.33686539,127.0950036,elem,true,data.go.kr
B000003978,솔개초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 수지구 상현로 79,공립,false,37.30579885,127.0817295,elem,true,data.go.kr
B000004653,솔뫼초등학교,7530000,의정부시,경기도의정부교육지원청,경기도 의정부시 시민로 442,공립,false,37.73136881,127.0810565,elem,true,data.go.kr
B000004167,솔빛초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 동탄구 동탄반석로 84,공립,false,37.1966888294,127.0737903,elem,true,data.go.kr
B000003821,솔안초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 소사구 경인로1185번길 27,공립,false,37.4857014,126.7508603,elem,true,data.go.kr
B000004321,솔터초등학교,7530000,김포시,경기도김포교육지원청,경기도 김포시 김포한강7로22번길 61,공립,false,37.64120856,126.6343528,elem,true,data.go.kr
B000004384,송곡초등학교,7530000,이천시,경기도이천교육지원청,경기도 이천시 모가면 진상미로 1054,공립,false,37.15240669,127.4839209,elem,true,data.go.kr
B000003787,송내초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 원미구 석천로 27,공립,false,37.4906788,126.7587493,elem,true,data.go.kr
B000004210,송라초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 효행구 매송면 푸른들판로 1970-16,공립,false,37.27306194,126.8886245,elem,true,data.go.kr
B000026249,송린초등학교,7530000,화성시,경기도화성오산교육지원청,경기도 화성시 만세구 수노을1로 253,공립,false,37.27823129,126.8241504,elem,true,data.go.kr
B000003634,송림초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 장안구 대평로51번길 65,공립,false,37.2912808,126.9917372,elem,true,data.go.kr
B000004127,송북초등학교,7530000,평택시,경기도평택교육지원청,경기도 평택시 지산로 90,공립,false,37.08049348,127.0666324,elem,true,data.go.kr
